brand_name,source_lake,total_products,passing_products,pass_rate,top_product_asin,top_product_price,top_product_velocity
Oceanic,catalist,104,57,0.5481,B01HR8VUGA,43.98,C
Sig Sauer,catalist,214,44,0.2056,B081ZP47Q8,49.99,B
Blue Sky Clayworks,inspired_home_show,149,34,0.2282,B0D3HB6WZC,31.19,LOW
Lyman,catalist,43,27,0.6279,B000RZ0HRE,37.98,C
Galco,catalist,36,23,0.6389,B000G7777Q,26.19,LOW
YakAttack,catalist,36,20,0.5556,B0DBQ2QM7Z,76.95,C
ZEISS,catalist,32,20,0.625,B0D9CB48Q4,999.99,LOW
Amscan,catalist,68,18,0.2647,B00ZPTK4WA,16.37,A
Lowrance,catalist,21,18,0.8571,B07N58QRMB,333.0,C
TRUGLO,catalist,59,14,0.2373,B003Q4COIS,32.69,LOW
Pyramex,catalist,17,14,0.8235,B078B9QD55,28.67,A
AIMS Power,catalist,19,13,0.6842,B07N1K43NQ,207.72,LOW
Hollis,catalist,24,12,0.5,B00361V0RW,96.0,B
Littlest Pet Shop,catalist,17,12,0.7059,B0D9M2HS2Z,26.0,C
Rainbow Friends,catalist,12,12,1.0,B0F22CGNXW,17.99,C
Dynabrade,catalist,20,11,0.55,B00065TPK0,207.56,C
Club Mocchi Mocchi,catalist,12,10,0.8333,B07D9MT2JK,28.66,C
Jackson,catalist,16,9,0.5625,B07LFVBFCW,269.99,LOW
iscream,toy_fair_ny,13,8,0.6154,B09C11N37G,37.99,C
Schrade,catalist,11,7,0.6364,B01785QCRY,26.99,C
Cleanwaste,catalist,9,7,0.7778,B001P6ZFG2,35.95,A
Unique,catalist,17,6,0.3529,B07ZZK5CR1,19.99,C
Mary Meyer,catalist,15,6,0.4,B07GJWS9H2,24.99,C
Quicksilver,catalist,11,6,0.5455,B00MIPCTBS,37.0,C
Blue Force Gear,catalist,10,6,0.6,B01FPK2UR0,22.88,C
Ticonderoga,catalist,7,6,0.8571,B01LYGCFKV,31.9,C
Gonesh,catalist,24,5,0.2083,B07T5FJJB4,16.97,LOW
Allsop,catalist,23,5,0.2174,B00TS4W200,59.0,LOW
Nocs Provisions,catalist,19,5,0.2632,B0CSYLBW1N,74.35,A
SHOWA,catalist,14,5,0.3571,B015WU52MI,20.44,C
Corolle,toy_fair_ny,10,5,0.5,B09N3Z66TS,34.92,B
SHURFLO,catalist,9,5,0.5556,B001444ZYI,61.3,A
E-Blox,toy_fair_ny,8,5,0.625,B01M4OCA0Y,47.96,LOW
