asin,brand,category,buy_box_price,fba_sellers,amazon_pct,top_seller_pct,drops_90d,estimated_units,competition_grade,velocity_grade,source_batch
B08257Z26W,187 Killer Pads,Sports & Outdoors,60.68,8.0,0.32,0.32,226.0,300.0,PASS,A,prescreen_v2_batch_001.csv
B0CY44L9V6,3D MAXpider,Automotive,239.99,2.0,0.0,0.18,53.0,17.7,PASS,LOW,prescreen_v2_batch_001.csv
B09SKVNFKD,3D MAXpider,Automotive,117.99,2.0,0.0,0.48,43.0,14.3,PASS,LOW,prescreen_v2_batch_001.csv
B00CH8VMYG,3D MAXpider,Automotive,147.99,2.0,0.0,0.43,40.0,13.3,PASS,LOW,prescreen_v2_batch_001.csv
B00IBON3G0,3D MAXpider,Automotive,124.99,2.0,0.0,0.27,9.0,3.0,PASS,LOW,prescreen_v2_batch_001.csv
B07Q5VDNZJ,Aerobie,Sports & Outdoors,18.85,2.0,0.0,0.34,51.0,50.0,PASS,C,prescreen_v2_batch_004.csv
B09GTC6R4N,Agrisel,"Patio, Lawn & Garden",24.14,2.0,0.0,0.49,235.0,100.0,PASS,C,prescreen_v2_batch_004.csv
B015BSPPK0,Agrisel,"Patio, Lawn & Garden",23.99,3.0,0.0,0.53,43.0,50.0,PASS,C,prescreen_v2_batch_004.csv
B07N1K43NQ,AIMS Power,Automotive,207.72,2.0,0.0,0.56,58.0,19.3,PASS,LOW,prescreen_v2_batch_005.csv
B00I36K1VQ,AIMS Power,Automotive,942.0,2.0,0.0,0.46,55.0,18.3,PASS,LOW,prescreen_v2_batch_005.csv
B01E3V66QS,AIMS Power,Automotive,358.34,2.0,0.0,0.5,55.0,18.3,PASS,LOW,prescreen_v2_batch_005.csv
B00RM3T8II,AIMS Power,Automotive,34.99,9.0,0.0,0.36,54.0,18.0,PASS,LOW,prescreen_v2_batch_005.csv
B00NZCRFRQ,AIMS Power,Automotive,1022.85,3.0,0.0,0.55,51.0,17.0,PASS,LOW,prescreen_v2_batch_005.csv
B00DQC6Z6M,AIMS Power,Automotive,1229.43,2.0,0.0,0.26,49.0,16.3,PASS,LOW,prescreen_v2_batch_005.csv
B08KKNK4L9,AIMS Power,Automotive,211.0,2.0,0.0,0.36,48.0,16.0,PASS,LOW,prescreen_v2_batch_005.csv
B00JBND8VK,AIMS Power,Automotive,1412.0,3.0,0.0,0.43,46.0,15.3,PASS,LOW,prescreen_v2_batch_005.csv
B00W2QUYGK,AIMS Power,Electronics,134.95,6.0,0.0,0.31,33.0,11.0,PASS,LOW,prescreen_v2_batch_005.csv
B00BXTOQD4,AIMS Power,Automotive,974.0,3.0,0.0,0.52,11.0,3.7,PASS,LOW,prescreen_v2_batch_005.csv
B00HHNCQ00,AIMS Power,Automotive,1997.6,2.0,0.0,0.3,11.0,3.7,PASS,LOW,prescreen_v2_batch_005.csv
B01IP9U43K,AIMS Power,Automotive,318.49,3.0,0.0,0.41,9.0,3.0,PASS,LOW,prescreen_v2_batch_005.csv
B00XK3951E,AIMS Power,Electronics,927.79,2.0,0.0,0.49,7.0,2.3,PASS,LOW,prescreen_v2_batch_005.csv
B0CBST6K2T,Alley Cat Games,Toys & Games,39.99,2.0,0.29,0.52,20.0,6.7,PASS,LOW,prescreen_v2_batch_006.csv
B00TS4W200,Allsop,Tools & Home Improvement,59.0,3.0,0.0,0.29,42.0,14.0,PASS,LOW,prescreen_v2_batch_006.csv
B06XXX46V1,Allsop,"Patio, Lawn & Garden",35.99,2.0,0.0,0.51,38.0,12.7,PASS,LOW,prescreen_v2_batch_006.csv
B07F35WHXL,Allsop,Tools & Home Improvement,45.99,2.0,0.0,0.58,33.0,11.0,PASS,LOW,prescreen_v2_batch_006.csv
B0D89M7D13,Allsop,Office Products,24.13,2.0,0.3,0.3,19.0,6.3,PASS,LOW,prescreen_v2_batch_006.csv
B01N017MC3,Allsop,Tools & Home Improvement,16.84,2.0,0.0,0.5,10.0,3.3,PASS,LOW,prescreen_v2_batch_006.csv
B0869B2V21,Ameristep,Sports & Outdoors,97.41,2.0,0.24,0.53,28.0,9.3,PASS,LOW,prescreen_v2_batch_007.csv
B00ZPTK4WA,Amscan,Toys & Games,16.37,7.0,0.0,0.57,79.0,600.0,PASS,A,prescreen_v2_batch_008.csv
B0733MD48G,Amscan,Toys & Games,25.0,3.0,0.0,0.52,54.0,200.0,PASS,B,prescreen_v2_batch_008.csv
B081HM9Z7P,Amscan,Toys & Games,17.29,6.0,0.0,0.39,45.0,200.0,PASS,B,prescreen_v2_batch_008.csv
B010N8QE9E,Amscan,Toys & Games,15.29,5.0,0.0,0.51,59.0,100.0,PASS,C,prescreen_v2_batch_008.csv
B083P4G4HY,Amscan,Home & Kitchen,21.82,4.0,0.0,0.41,40.0,100.0,PASS,C,prescreen_v2_batch_008.csv
B0845PZ8TN,Amscan,Home & Kitchen,17.3,2.0,0.0,0.51,43.0,100.0,PASS,C,prescreen_v2_batch_008.csv
B0B4F53QRR,Amscan,Home & Kitchen,26.93,3.0,0.0,0.51,38.0,100.0,PASS,C,prescreen_v2_batch_008.csv
B009SB96I4,Amscan,Toys & Games,16.99,5.0,0.15,0.53,42.0,50.0,PASS,C,prescreen_v2_batch_008.csv
B08462S5ZP,Amscan,Toys & Games,20.0,2.0,0.0,0.54,56.0,18.7,PASS,LOW,prescreen_v2_batch_008.csv
B0767MNZ98,Amscan,Toys & Games,25.59,3.0,0.02,0.49,44.0,14.7,PASS,LOW,prescreen_v2_batch_008.csv
B00991FZII,Amscan,Toys & Games,15.83,2.0,0.0,0.45,43.0,14.3,PASS,LOW,prescreen_v2_batch_008.csv
B017PHJ6NW,Amscan,Home & Kitchen,19.48,3.0,0.0,0.57,30.0,10.0,PASS,LOW,prescreen_v2_batch_008.csv
B07NPHVBLR,Amscan,Home & Kitchen,19.28,3.0,0.0,0.51,30.0,10.0,PASS,LOW,prescreen_v2_batch_008.csv
B0931YSV6G,Amscan,Toys & Games,15.99,4.0,0.0,0.46,27.0,9.0,PASS,LOW,prescreen_v2_batch_008.csv
B0C6NJ4MKL,Amscan,Toys & Games,17.96,3.0,0.07,0.39,27.0,9.0,PASS,LOW,prescreen_v2_batch_008.csv
B078RMKB2Y,Amscan,Home & Kitchen,18.32,3.0,0.0,0.59,13.0,4.3,PASS,LOW,prescreen_v2_batch_008.csv
B0C6NGPXYD,Amscan,Toys & Games,20.99,2.0,0.09,0.35,12.0,4.0,PASS,LOW,prescreen_v2_batch_008.csv
B00725YYYY,Amscan,Home & Kitchen,24.5,3.0,0.0,0.46,9.0,3.0,PASS,LOW,prescreen_v2_batch_008.csv
B07RWPDH26,Anolon,Home & Kitchen,87.84,4.0,0.14,0.54,41.0,50.0,PASS,C,prescreen_v2_batch_009.csv
B00I9THJTO,Anolon,Home & Kitchen,66.51,2.0,0.28,0.39,48.0,16.0,PASS,LOW,prescreen_v2_batch_009.csv
B0C1L4JQH3,Anolon,Home & Kitchen,149.0,3.0,0.22,0.37,48.0,16.0,PASS,LOW,prescreen_v2_batch_009.csv
B0BBP92SC6,Anolon,Home & Kitchen,69.99,2.0,0.33,0.6,43.0,14.3,PASS,LOW,prescreen_v2_batch_009.csv
B000CSP366,APC,Appliances,69.99,3.0,0.0,0.5,39.0,13.0,PASS,LOW,prescreen_v2_batch_009.csv
B00DH6JWOO,APC,Electronics,93.99,5.0,0.0,0.46,6.0,2.0,PASS,LOW,prescreen_v2_batch_009.csv
B0007UOSWY,attwood,Sports & Outdoors,133.99,3.0,0.28,0.28,48.0,50.0,PASS,C,prescreen_v2_batch_012.csv
B00C7ATQE2,Baumgartens,Toys & Games,106.2,3.0,0.0,0.52,23.0,7.7,PASS,LOW,prescreen_v2_batch_014.csv
B071F7ZMNQ,Bendon,Toys & Games,19.99,2.0,0.0,0.45,48.0,200.0,PASS,B,prescreen_v2_batch_016.csv
1505021111,Bendon,Toys & Games,27.31,5.0,0.0,0.36,43.0,50.0,PASS,C,prescreen_v2_batch_016.csv
B000ELUWKI,Bendon,Toys & Games,19.9,2.0,0.0,0.51,6.0,2.0,PASS,LOW,prescreen_v2_batch_016.csv
B077Y1YSZ5,Berryman,Automotive,39.34,4.0,0.0,0.54,148.0,400.0,PASS,A,prescreen_v2_batch_016.csv
B0002KKIJQ,Berryman,Automotive,42.67,3.0,0.0,0.37,53.0,100.0,PASS,C,prescreen_v2_batch_016.csv
B00DSMEL2A,Berryman,Automotive,39.49,2.0,0.0,0.28,75.0,50.0,PASS,C,prescreen_v2_batch_016.csv
B0057PUL52,BESSEY,Tools & Home Improvement,39.38,2.0,0.03,0.5,35.0,11.7,PASS,LOW,prescreen_v2_batch_016.csv
B007V65I6C,BESSEY,Tools & Home Improvement,37.74,2.0,0.0,0.41,24.0,8.0,PASS,LOW,prescreen_v2_batch_016.csv
B01LZSMQM0,BESSEY,Tools & Home Improvement,16.62,2.0,0.0,0.43,22.0,7.3,PASS,LOW,prescreen_v2_batch_016.csv
B003XVR420,BESSEY,Tools & Home Improvement,40.85,2.0,0.0,0.43,17.0,5.7,PASS,LOW,prescreen_v2_batch_016.csv
B09S6VM2G2,Big Potato,Toys & Games,24.99,2.0,0.0,0.59,51.0,100.0,PASS,C,prescreen_v2_batch_018.csv
B0CX5DGY47,Big Potato,Toys & Games,29.99,3.0,0.0,0.5,114.0,50.0,PASS,C,prescreen_v2_batch_018.csv
B01FPK2UR0,Blue Force Gear,Sports & Outdoors,22.88,6.0,0.0,0.45,46.0,100.0,PASS,C,prescreen_v2_batch_020.csv
B09KDTT4DT,Blue Force Gear,Sports & Outdoors,83.99,2.0,0.0,0.4,44.0,50.0,PASS,C,prescreen_v2_batch_020.csv
B09KDS2ZQL,Blue Force Gear,Sports & Outdoors,63.5,2.0,0.0,0.41,68.0,22.7,PASS,LOW,prescreen_v2_batch_020.csv
B09KDYXQDB,Blue Force Gear,Sports & Outdoors,64.99,2.0,0.0,0.31,59.0,19.7,PASS,LOW,prescreen_v2_batch_020.csv
B008SG12EQ,Blue Force Gear,Sports & Outdoors,18.45,3.0,0.0,0.51,49.0,16.3,PASS,LOW,prescreen_v2_batch_020.csv
B085Z84D12,Blue Force Gear,Sports & Outdoors,34.2,2.0,0.0,0.5,31.0,10.3,PASS,LOW,prescreen_v2_batch_020.csv
B001P6FTHC,Blue Sea Systems,Tools & Home Improvement,44.82,4.0,0.35,0.59,145.0,1000.0,PASS,A,prescreen_v2_batch_020.csv
B000FOPE1G,Blue Sea Systems,Sports & Outdoors,46.85,3.0,0.14,0.57,119.0,50.0,PASS,C,prescreen_v2_batch_020.csv
B014RC93BS,Blue Sea Systems,Automotive,272.64,2.0,0.26,0.39,32.0,10.7,PASS,LOW,prescreen_v2_batch_020.csv
B0D3HB6WZC,Blue Sky Clayworks,Home & Kitchen,31.19,3.0,0.0,0.4,36.0,12.0,PASS,LOW,prescreen_v2_batch_020.csv
B08PPTTYSM,Blue Sky Clayworks,Home & Kitchen,19.93,4.0,0.31,0.51,35.0,11.7,PASS,LOW,prescreen_v2_batch_020.csv
B0CTLYJFPT,Blue Sky Clayworks,Home & Kitchen,59.09,3.0,0.23,0.49,33.0,11.0,PASS,LOW,prescreen_v2_batch_020.csv
B09687Z4NF,Blue Sky Clayworks,Home & Kitchen,20.0,4.0,0.0,0.59,30.0,10.0,PASS,LOW,prescreen_v2_batch_020.csv
B0CTLRCJLQ,Blue Sky Clayworks,Home & Kitchen,21.53,3.0,0.09,0.45,30.0,10.0,PASS,LOW,prescreen_v2_batch_020.csv
B0CTLVSP43,Blue Sky Clayworks,Home & Kitchen,20.23,4.0,0.0,0.32,30.0,10.0,PASS,LOW,prescreen_v2_batch_020.csv
B09R1KYDQJ,Blue Sky Clayworks,Home & Kitchen,63.89,4.0,0.0,0.55,28.0,9.3,PASS,LOW,prescreen_v2_batch_020.csv
B0CTLRDNMT,Blue Sky Clayworks,"Patio, Lawn & Garden",37.0,2.0,0.0,0.41,27.0,9.0,PASS,LOW,prescreen_v2_batch_020.csv
B08PPV5QP5,Blue Sky Clayworks,Home & Kitchen,26.58,2.0,0.0,0.52,25.0,8.3,PASS,LOW,prescreen_v2_batch_020.csv
B0FHGD828K,Blue Sky Clayworks,Home & Kitchen,35.98,3.0,0.0,0.54,24.0,8.0,PASS,LOW,prescreen_v2_batch_020.csv
B08PPTKBVP,Blue Sky Clayworks,Home & Kitchen,33.78,3.0,0.1,0.57,23.0,7.7,PASS,LOW,prescreen_v2_batch_020.csv
B0CTLP18Z6,Blue Sky Clayworks,Tools & Home Improvement,40.0,3.0,0.09,0.53,22.0,7.3,PASS,LOW,prescreen_v2_batch_020.csv
B0195KHUNU,Blue Sky Clayworks,Home & Kitchen,59.99,2.0,0.0,0.58,21.0,7.0,PASS,LOW,prescreen_v2_batch_020.csv
B0DWSC2KWH,Blue Sky Clayworks,Home & Kitchen,28.56,3.0,0.12,0.58,18.0,6.0,PASS,LOW,prescreen_v2_batch_020.csv
B06XZB9MDV,Blue Sky Clayworks,Home & Kitchen,55.0,2.0,0.0,0.5,17.0,5.7,PASS,LOW,prescreen_v2_batch_020.csv
B08PPVQ7M1,Blue Sky Clayworks,Home & Kitchen,34.0,2.0,0.05,0.52,16.0,5.3,PASS,LOW,prescreen_v2_batch_020.csv
B0CX1YH5TW,Blue Sky Clayworks,Home & Kitchen,46.19,3.0,0.0,0.5,16.0,5.3,PASS,LOW,prescreen_v2_batch_020.csv
B083FFC41P,Blue Sky Clayworks,Home & Kitchen,46.54,3.0,0.0,0.51,15.0,5.0,PASS,LOW,prescreen_v2_batch_020.csv
B0C9SBJ73B,Blue Sky Clayworks,Home & Kitchen,71.65,2.0,0.2,0.45,14.0,4.7,PASS,LOW,prescreen_v2_batch_020.csv
B0DWSJ4X1D,Blue Sky Clayworks,Home & Kitchen,40.39,3.0,0.0,0.58,13.0,4.3,PASS,LOW,prescreen_v2_batch_020.csv
B09R1L66Z2,Blue Sky Clayworks,Home & Kitchen,54.2,3.0,0.03,0.56,11.0,3.7,PASS,LOW,prescreen_v2_batch_020.csv
B0D8CRKSNZ,Blue Sky Clayworks,Home & Kitchen,36.98,2.0,0.31,0.33,11.0,3.7,PASS,LOW,prescreen_v2_batch_020.csv
